critere,critere_type,condition,nct_id,nb_etudes
"For dose optimization (Phase II): Patient must provide tumor tissue from locations not radiated prior to biopsy, if possible, collected through archival tissue.",inclusion,breast cancer,['NCT06324357'],1
For F3 fibrosis patients: 35\>BMI≥ 30kg/m² ; Fibroscan ≥ 9kPa or FibrometreVM ≥0.526 predicting a F3 fibrosis score grade within 1 month before inclusion or F3 fibrosis score grade diagnosed by hepatic biopsy performed before inclusion.,inclusion,obesity,['NCT03472157'],1
For F4 fibrosis patients: 50\>BMI≥ 30kg/m² ; Fibroscan ≥ 15kPa predicting a F4 fibrosis score grade within 1 month before inclusion or F4 fibrosis score grade diagnosed by hepatic biopsy performed before inclusion.,inclusion,obesity,['NCT03472157'],1
"For females (assigned at birth), is not pregnant or breastfeeding and ≥1 of the following applies: is not a participant of childbearing potential (POCBP) OR is a POCBP and uses highly effective contraception after the last dose of study intervention (210 days for sacituzumab tirumotecan, 120 days for pembrolizumab, and 185 days for capecitabine). Abstains from breastfeeding during the study intervention period and for at least 120 days after study intervention",inclusion,breast cancer,['NCT06393374'],1
"For hypertensive patients, hypertension must be controlled by stable dose of anti-hypertensive medication for at least 2 months prior to screening (and the stable dose can be maintained throughout the study).",inclusion,obesity,['NCT03472157'],1
"for participants with screening eGFR \< 45 mL/min/1.73 m2, potassium must be ≥ 3.0 and ≤ 4.5 mmol/L at the Screening Visit",inclusion,hypertension,['NCT06268873'],1
"for participants with screening eGFR ≥ 45 mL/min/1.73 m2, potassium must be ≥ 3.0 and ≤ 4.8 mmol/L at the Screening Visit",inclusion,hypertension,['NCT06268873'],1
For patients only : diagnosed with Binge Eating Desordors according to DSM criteria.,inclusion,healthy,['NCT06864065'],1
"For patients taking part in the RTW WP: patient in an ""self employed"" or ""interim"" employment situation",exclusion,breast cancer,['NCT05981326'],1
For patients taking part in the RTW WP: Patients working part-timeProcedures for withdrawal of incorrectly enrolled patients are presented in Section 7.5.,exclusion,breast cancer,['NCT05981326'],1
For patients taking part in the RTW WP: working patients at time of diagnostic and in sick leave at time of inclusion,inclusion,breast cancer,['NCT05981326'],1
"For patients with cirrhosis, patients must fulfil all the following criteria: Platelets \> 125 000, PT \> 80 %, Albumin \> 35 g/L, MELD score at inclusion \< 9, CPT score \< 6, No history of previous decompensation, No oesophageal varices (endoscopy), No vascular shunt, ASA score ≤ III, Alcohol consumption lower than 20g/day for women and 30g/day for men.",inclusion,obesity,['NCT03472157'],1
For patients:,inclusion,depression,['NCT05480826'],1
For relatives :,inclusion,depression,['NCT05480826'],1
For the subjects of the group NO:,exclusion,obesity,['NCT03008525'],1
For women of childbearing age: effective contraception implemented for at least 3 months.,inclusion,obesity,['NCT04934826'],1
"free patient, without tutorship or curatorship or under judicial protection",inclusion,stroke,['NCT04282629'],1
"Free, informed and signed consent by the participant and/or the person having guardianship and the investigator (at the latest on the day of inclusion and before any examination required by the research);",inclusion,stroke,['NCT06312631'],1
French as native language,inclusion,healthy,['NCT04457622'],1
"Fulminant decrease of visual acuity due to the IIH defined as a visual loss (of the most seriously impaired eye) of at least 3/10 (from corrected vision) within 4 weeks, in absence of any other ophthalmologic pathology and Mean Deficit of visual field superior to -10 dB",exclusion,hypertension,['NCT06945848'],1
"Gastic Banding, Biliopancreatic diversion and all the new bariatric surgery techniques are forbidden because the study design allow only the laparoscopic sleeve gastrectomy or laparoscopic Roux-en-Y gastric Bypaass.",exclusion,obesity,['NCT03472157'],1
Gestational age \<11 WG and \>14 WG,exclusion,hypertension,['NCT05521776'],1
Girls aged 14 to 18 playing handball Handballers training at the Pôle Espoirs or the Centre Labellisé d'Entrainement 29 Players of legal age who have given their consent Signature of consent by parents for underage players,inclusion,healthy,['NCT06754774'],1
glasses (given the participant cannot use contact lenses),exclusion,healthy,['NCT04457622'],1
Global or sensory aphasia,exclusion,stroke,['NCT04759326'],1
"Good general health as determined at the discretion of the investigator (vital signs, medical history, and physical examination).",inclusion,healthy,['NCT06821126'],1
"Gout,",exclusion,hypertension,['NCT04356326'],1
Had adequate excision and surgical removal of all clinically evident disease in the breast and/or lymph nodes and have adequately recovered from surgery,inclusion,breast cancer,['NCT06393374'],1
Had neoadjuvant treatment based on the KEYNOTE-522 regimen (pembrolizumab with carboplatin/taxanes and pembrolizumab with anthracycline-based chemotherapy) followed by surgery according to National Comprehensive Cancer Network (NCCN) treatment guidelines for TNBC,inclusion,breast cancer,['NCT06393374'],1
Has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy (in dosing exceeding 10 mg daily of prednisone equivalent) or any other form of immunosuppressive therapy within 28 days prior the first dose of study drugs,exclusion,breast cancer,['NCT04725331'],1
Has a known germline breast cancer gene (BRCA) mutation (deleterious or suspected deleterious) and is eligible for adjuvant therapy with olaparib where olaparib is approved and available,exclusion,breast cancer,['NCT06393374'],1
"Has active autoimmune disease that has required systemic treatment in the past 2 years. Replacement therapy (eg, thyroxine, insulin, or physiologic corticosteroid) is allowed",exclusion,breast cancer,['NCT06393374'],1
Has active infection requiring systemic therapy,exclusion,breast cancer,['NCT06393374'],1
"Has active inflammatory bowel disease requiring immunosuppressive medication or previous history of inflammatory bowel disease (eg, Crohn's disease, ulcerative colitis, or chronic diarrhea)",exclusion,breast cancer,['NCT06393374'],1
"Has centrally confirmed TNBC, as defined by the most recent American Society of Clinical Oncology/College of American Pathologists (ASCO/CAP) guidelines",inclusion,breast cancer,['NCT06393374'],1
Has concurrent active hepatitis B and hepatitis C virus infection,exclusion,breast cancer,['NCT06393374'],1
Has diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy (in dosing exceeding 10 mg daily of prednisone equivalent) or any other form of immunosuppressive therapy within 7 days prior the first dose of study medication,exclusion,breast cancer,['NCT06393374'],1
Has expressed interest and availability to meet the trial requirements.,inclusion,healthy,['NCT06821126'],1
Has Grade \>2 peripheral neuropathy,exclusion,breast cancer,['NCT06393374'],1
Has history of (noninfectious) pneumonitis/interstitial lung disease that required steroids or has current pneumonitis/interstitial lung disease,exclusion,breast cancer,['NCT06393374'],1
Has history of allogeneic tissue/solid organ transplant,exclusion,breast cancer,['NCT06393374'],1
Has known additional malignancy that is progressing or has required active treatment within the past 5 years,exclusion,breast cancer,['NCT06393374'],1
"Has no evidence of locoregional or distant relapse, as assessed by the treating physician",inclusion,breast cancer,['NCT06393374'],1
Has non-pathologic complete response at surgery,inclusion,breast cancer,['NCT06393374'],1
Has provided tissue from the surgical resection for central laboratory determination of trophoblast cell surface antigen 2 (TROP2) status,inclusion,breast cancer,['NCT06393374'],1
Has received an investigational agent or has used an investigational device within 4 weeks prior to study intervention administration,exclusion,breast cancer,['NCT06393374'],1
"Has uncontrolled, significant cardiovascular disease or cerebrovascular disease including New York Heart Association Class III or IV congestive heart failure, unstable angina, myocardial infarction, uncontrolled symptomatic arrhythmia, prolongation of QTcF interval to \>480 ms, and/or other serious cardiovascular and cerebrovascular diseases within 6 months prior to study intervention",exclusion,breast cancer,['NCT06393374'],1
Have a BMI between 18.5 and 30 kg/m2,inclusion,healthy,['NCT06746220'],1
Have a history of (non-infectious) pneumonitis / interstitial lung disease that required steroids or has current pneumonitis / interstitial lung disease,exclusion,breast cancer,['NCT04725331'],1
Have a known additional malignancy that is progressing or has required active treatment within the past 3 years.,exclusion,breast cancer,['NCT04725331'],1
Have a known history of Hepatitis B (defined as HBsAg reactive) or known active Hepatitis C virus (defined as HCV RNA \[qualitative\] is detected) infection.n.,exclusion,breast cancer,['NCT04725331'],1
Have a known history of HIV infection,exclusion,breast cancer,['NCT04725331'],1
"Have achieved a minimal BMI \< 18.5 or maximal BMI ≥ 25 kg/m² in adult life,",inclusion,healthy,['NCT05370222'],1
"Have adequate hematological, hepatic and renal functions.",inclusion,breast cancer,['NCT04725331'],1
"Have an active autoimmune disease that has required systemic treatment in past 2 years (i.e., with use of disease modifying agents, corticosteroids or immunosuppressive drugs).",exclusion,breast cancer,['NCT04725331'],1
Have an active infection requiring systemic therapy,exclusion,breast cancer,['NCT04725331'],1
"Have any other condition or reason that, in the opinion of the Investigator, would prohibit the subject from participating in the study.",exclusion,hypertension,['NCT06274801'],1
"Have at least 1 injectable measurable cutaneous, subcutaneous or nodal lesion (direct injection or through the use of ultrasound guidance) not exceeding 50mm in longest diameter and whenever possible 1 distant non-injected measurable lesion.",inclusion,breast cancer,['NCT04725331'],1
Have failed and/or are intolerant to standard therapeutic options.,inclusion,breast cancer,['NCT04725331'],1
Have had an allogenic tissue/solid organ transplant or allogenic stem cell or bone marrow transplantation,exclusion,breast cancer,['NCT04725331'],1
"Have had an ischemic and/or hemorrhagic stroke (\> 3 months post-stroke), impacting the motor skills of the upper limbs,",inclusion,stroke,['NCT05315726'],1
Have had major surgery within 4 weeks of first study drug administration.,exclusion,breast cancer,['NCT04725331'],1
"Have histologically confirmed, advanced/metastatic sarcoma (soft tissue and bone), Merkel cell carcinoma, melanoma, triple negative breast cancer or non-small cell lung cancer, with cutaneous or, palpable subcutaneous lesions or easily injectable lymph nodes.",inclusion,breast cancer,['NCT04725331'],1
Have Internet access at home (computer) and are able to use the digital platform.,inclusion,depression,['NCT06014125'],1
Have known active CNS metastases and/or carcinomatous meningitis.,exclusion,breast cancer,['NCT04725331'],1
Have no contraindication to the practice of physical activity,inclusion,healthy,['NCT06746220'],1
Have received or receiving any live or live-attenuated vaccine within 30 days prior to the first dose of study intervention..,exclusion,breast cancer,['NCT04725331'],1
Have received prior radiotherapy within 2 weeks of start of study treatment or have had a history of radiation pneumonitis,exclusion,breast cancer,['NCT04725331'],1
Have received prior systemic anti-cancer therapy including investigational agents within 4 weeks prior to the start of treatment.,exclusion,breast cancer,['NCT04725331'],1
"Have received prior therapy with an anti-PD-1, anti-PD-L1, or anti PD L2 agent or with an agent directed to another stimulatory or co-inhibitory T-cell receptor (e.g., CTLA-4, OX 40, CD137), and was discontinued from that treatment due to a Grade 3 or higher immune-related Adverse Event (irAE).",exclusion,breast cancer,['NCT04725331'],1
Have received prior treatment with a vaccinia oncolytic virus.,exclusion,breast cancer,['NCT04725331'],1
"Have severe hypersensitivity to the active substance or, to any of the excipients of (≥Grade 3) to pembrolizumab. and/or any of its excipients",exclusion,breast cancer,['NCT04725331'],1
Having dated and signed an informed consent.,inclusion,depression,['NCT06035731'],1
Having given oral consent.,inclusion,stroke,['NCT05315726'],1
Having given written consent,inclusion,hypertension,['NCT04520048'],1
Having initiated puberty: tanner score ≥2 for FtM; tanner score ≥2 (clinic and/or testosterone \>0.3 ng/mL) for MtF,inclusion,depression,['NCT06351501'],1
Having received any of the prohibited treatments in Table 2 within the specified timeframe before inclusion.,exclusion,healthy,['NCT07090889'],1
Having signed the consent,inclusion,depression,['NCT05480826'],1
Having signed the consent form,inclusion,depression,['NCT05480826'],1
Having treatment for a pathology at the time of inclusion,exclusion,healthy,['NCT06746220'],1
Healthy female and male participants.,inclusion,healthy,['NCT07090889'],1
heart failure requiring inotropic administration at the time of randomization,exclusion,stroke,['NCT04282629'],1
"Hemiparesis or hemiplegia of the upper limb (FMA-UE score \< 48), particularly in the wrist and elbow flexors,",inclusion,stroke,['NCT05315726'],1
"Hemostasis disorders, including hemophilia (with thrombocytopenia)",exclusion,hypertension,['NCT04356326'],1
"Hepatitis C, HIV infection (assay performed within 6 months prior to diagnosis of pre- eclampsia)",exclusion,hypertension,['NCT04520048'],1
Hepatocellular carcinoma,exclusion,obesity,['NCT03472157'],1
"Hepatocellular carcinoma with at least one nodule \> 3 cm in diameter, or more than 3 nodules",exclusion,hypertension,['NCT06687265'],1
High blood pressure or poor circulation,exclusion,healthy,['NCT04423874'],1
"High likelihood of HVPG ≥ 12 mm Hg based on investigator's judgement, or on the following criteria:",inclusion,hypertension,['NCT06687265'],1
Histological or cytological confirmation of ER+/HER2 - disease,inclusion,breast cancer,['NCT05696626'],1
"Histologically confirmed, operable invasive breast carcinoma.",inclusion,breast cancer,['NCT05896566'],1
"Histologically proven primary ER+ (Allred score 6/8 or greater, or stain in ≥10% of cancer cells) and HER2- (immunohistochemistry 0/1+ and/or negative by in situ hybridization) breast cancer as determined by local laboratory",inclusion,breast cancer,['NCT04985266'],1
"History of a pulmonary embolus (PE), deep vein thrombosis (DVT), or any known thrombophilia, unless the event occurred greater than 6 months prior to screening and the subject is treated with chronic anticoagulant therapy such as apixaban (Eliquis) or rivaroxaban (Xarelto).",exclusion,breast cancer,['NCT05696626'],1
"History of allergic reactions to dust and/or horsehair, or severe asthma",exclusion,stroke,['NCT04759326'],1
"History of angina pectoris, symptomatic pericarditis, myocardial infarction, or any cardiac arrhythmias (e.g., ventricular, supraventricular, nodal arrhythmias, or conduction abnormality) within 12 months prior to study entry History of documented congestive heart failure (New York Heart Association Class II-IV) or cardiomyopathy Left ventricular ejection fraction \<50% as determined by multiple-gated acquisition scan or echocardiogram QT interval corrected through use of Fridericia's formula (QTcF) \>470 ms based on mean value of triplicate ECGs, history of long or short QT syndrome, Brugada syndrome or known history of corrected QT interval prolongation, or torsades de pointes History or presence of an abnormal ECG that is clinically significant in the investigator's opinion, including complete left bundle branch block, second- or third-degree heart block, sick sinus syndrome, or evidence of prior myocardial infarction",exclusion,breast cancer,['NCT05896566'],1
History of atrial fibrillation or other risks of stroke,exclusion,hypertension,['NCT06945848'],1
History of bariatric or digestive surgery or disease interfering with main outcomes,exclusion,obesity,['NCT05783466'],1
"History of cancer, except:",exclusion,obesity,['NCT03472157'],1
History of chronic obstructive pulmonary disease or other severe respiratory disease,exclusion,hypertension,['NCT06945848'],1
"History of chronic rhinitis, nasal septal defect, cleft palate, nasal polyps, or other nasal abnormality that might alter nasal mucosa and affect vaccine response.",exclusion,healthy,['NCT06821126'],1
History of clinical ascites,inclusion,hypertension,['NCT06687265'],1
history of clinical ascites in the last 6 months,inclusion,hypertension,['NCT06687265'],1
History of deep vein thrombosis or pulmonary embolism,exclusion,hypertension,['NCT06945848'],1
"History of documented hemorrhagic diathesis, coagulopathy, or thromboembolism.",exclusion,breast cancer,['NCT05896566'],1
"History of documented severe dry eye syndrome, severe Meibomian gland disease and/or blepharitis, or severe corneal disease that prevents/delays corneal healing",exclusion,breast cancer,['NCT06393374'],1
History of fainting or seizures,exclusion,healthy,['NCT04423874'],1
History of frequent epistaxis.,exclusion,healthy,['NCT06821126'],1
History of frostbite,exclusion,healthy,['NCT04423874'],1
History of Grade 3 or Grade 4 interstitial lung disease (ILD) on previous therapy.,exclusion,breast cancer,['NCT05696626'],1
History of horse riding or hippotherapy care during the last 6 months,exclusion,stroke,['NCT04759326'],1
History of intracranial venous thrombosis or intracranial neoplasia,exclusion,hypertension,['NCT06945848'],1
"History of lactic acidosis, diabetic acidocetosis, or diabetic precoma",exclusion,hypertension,['NCT06687265'],1
History of long QTc (Q-T interval corrected for heart rate) syndrome or a QTc of \>480 msec.,exclusion,breast cancer,['NCT05696626'],1
"History of malignancy within the past 5 years (excluding breast cancer), except basal cell or squamous cell carcinoma of the skin curatively treated by surgery.",exclusion,breast cancer,['NCT05696626'],1
"History of myocarditis or congestive heart failure, unstable angina, uncontrolled infection, or myocardial infarction 6 months prior to clinical trial entry.",exclusion,breast cancer,['NCT04725331'],1
History of non-compliance to medical regimens.,exclusion,breast cancer,['NCT05696626'],1
"History of organ transplant or bone marrow transplant, or planned organ transplant within 6 months following randomisation (including kidney transplant).",exclusion,hypertension,['NCT06268873'],1
History of PE in a previous pregnancy,exclusion,hypertension,['NCT05521776'],1
History of previously implanted intra-cranial sinus stent,exclusion,hypertension,['NCT06945848'],1
History of regular alcohol consumption exceeding 14 drinks/week for females or 21 drinks/week for males within 6 months of screening.,exclusion,healthy,['NCT07090889'],1
"History of severe adverse events following vaccine administration including anaphylactic reaction and associated symptoms such as rash, breathing problems, angioedema, and abdominal pain, or a history of allergic reaction that could be triggered by a component of the SARS-COV-2 vaccine at the time of the first vaccine administration.",exclusion,healthy,['NCT06821126'],1
"History of severe exfoliative skin conditions (e.g., eczema or atopic dermatitis) requiring systemic therapy for more than 4 weeks within 2 years prior to BT-001 initiation.",exclusion,breast cancer,['NCT04725331'],1
"History of severe PE with delivery \< 34 weeks of gestation,",exclusion,hypertension,['NCT04356326'],1
History of severe psychiatric disorders that may affect participation in the trial.,exclusion,healthy,['NCT06821126'],1
History of TIPS (transjugular intrahepatic portosystemic shunt) / surgical portosystemic derivation / liver transplantation / major hepatectomy,exclusion,hypertension,['NCT06687265'],1
History of uncontrolled pain,exclusion,stroke,['NCT04759326'],1
History of upper limb surgery less than 6 months old.,exclusion,stroke,['NCT06312631'],1
"History of ventricular dysrhythmias or risk factors for ventricular dysrhythmias such as structural heart disease (e.g., severe left ventricular systolic dysfunction, left ventricular hypertrophy), coronary heart disease (symptomatic or with ischemia demonstrated by diagnostic testing), clinically significant electrolyte abnormalities (e.g., hypokalemia, hypomagnesemia, hypocalcemia), or family history of long QT syndrome.",exclusion,breast cancer,['NCT05896566'],1
"History or ongoing allergy/hypersensitivity, as judged by the investigator, to SGLT2 inhibitor (eg, empagliflozin) or ASI.",exclusion,hypertension,['NCT06268873'],1
"History or presence of symptomatic bradycardia or resting heart rate \<50 bpm at screening. Patients on stable dose of a beta-blocker or calcium channel antagonist for pre-existing baseline conditions (e.g., hypertension) may be permitted if resting heart rate is ≥50 bpm.",exclusion,breast cancer,['NCT05896566'],1
HIV positive patients,exclusion,obesity,['NCT03472157'],1
HIV-infected participants with a history of Kaposi's sarcoma and/or Multicentric Castleman's Disease,exclusion,breast cancer,['NCT06393374'],1
Hormonal treatment needs to be adjusted (FtM patients treated with anti-coagulants or with thrombophilia).,exclusion,depression,['NCT06351501'],1
Hospital admission due to neurovascular emergency,exclusion,stroke,['NCT05378126'],1
"Hospitalised in a neurology department, or Neuro Vascular Unit (NVU), or in a department where beds are dedicated to receiving post-stroke patients",inclusion,stroke,['NCT07065929'],1
Human immunodeficiency virus (HIV)-infected participants must have well controlled HIV on antiretroviral therapy (ART),inclusion,breast cancer,['NCT06393374'],1
"Human immunodeficiency virus, or hepatitis B virus, or hepatitis C virus positive serum,",exclusion,hypertension,['NCT04356326'],1
"Hypersensitivity to salicylates such as aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs),",exclusion,hypertension,['NCT04356326'],1
Hyponatremia (\<130 mmol/L),exclusion,hypertension,['NCT05732727'],1
hypotension and / or severe hypovolemia with hemodynamic instability,exclusion,stroke,['NCT04282629'],1
ICHT at the time of randomisation (ICP\> 25 mmHg for at least 20 min),exclusion,stroke,['NCT04282629'],1
"If anticoagulation therapy is required for a prosthetic heart valve, stable INR between 2.5 and 3.5 is permitted.",inclusion,breast cancer,['NCT05896566'],1
"If capable of producing sperm, the participant agrees to the following during the intervention period and for at least the time needed to eliminate each study intervention after the last dose of study intervention (120 days for sacituzumab tirumotecan and 95 days for capecitabine \[no restriction for pembrolizumab\]): agrees to refrain from donating sperm AND is either abstinent and agrees to remain abstinent or uses highly effective contraception",inclusion,breast cancer,['NCT06393374'],1
Illicit drug use within the past 12 months.,exclusion,healthy,['NCT06821126'],1
Impossibility of giving the person informed information and ensuring the subject's compliance due to impaired physical and/or psychological health,exclusion,stroke,['NCT06312631'],1
"Impossibility to submit to the medical follow-up of this clinical trial for geographical, social or psychological reasons",exclusion,breast cancer,['NCT05981326'],1
In a palliative situation where life expectancy is \< 3 months,exclusion,stroke,['NCT07065929'],1
Inability for the parents (or legal representative) to understand/fulfil study requirements;,exclusion,obesity,['NCT05032326'],1
Inability or medical contraindication to travel to the Equiphoria Institute by personal car or taxi,exclusion,stroke,['NCT04759326'],1
Inability to understand French,exclusion,depression,['NCT05480826'],1
Inability to understand rehabilitation instructions and/or actively participate in the rehabilitation process,exclusion,stroke,['NCT05224973'],1
"Incident cases, or prevalent cases with stable disease over the last 3 months",inclusion,depression,['NCT03810482'],1
"Incident cases, or prevalent cases with stable disease over the last 3 months",inclusion,hypertension,['NCT03810482'],1
"Including patients under guardianship, curatorship,",inclusion,depression,['NCT05480826'],1
"Including relative under guardianship, curatorship",inclusion,depression,['NCT05480826'],1
Inclusion \> 3 months post-stroke,inclusion,stroke,['NCT04759326'],1
Indication of any systemic therapeutic strategy can be performed alongside this current cohort in accordance with national and / or international recommendations.,inclusion,breast cancer,['NCT05981326'],1
Individual deprived of liberty or placed under the authority of a tutor,exclusion,breast cancer,['NCT05981326'],1
Individual has a baseline office diastolic blood pressure ≥ 90 mmHg,inclusion,hypertension,['NCT05198674'],1
Individual has a documented condition that would prohibit or interfere with ability to obtain an accurate blood pressure measurement,exclusion,hypertension,['NCT05198674'],1
Individual has an average systolic baseline home blood pressure ≥135 mmHg,inclusion,hypertension,['NCT05198674'],1
Individual has an estimated glomerular filtration rate (eGFR) of \<45,exclusion,hypertension,['NCT05198674'],1
Individual has documented type 1 diabetes mellitus or poorly-controlled type 2 diabetes mellitus with glycosylated hemoglobin greater than 8.0%,exclusion,hypertension,['NCT05198674'],1
Individual has one or more episode(s) of orthostatic hypotension,exclusion,hypertension,['NCT05198674'],1
Individual has primary pulmonary hypertension,exclusion,hypertension,['NCT05198674'],1
Individual has undergone prior renal denervation,exclusion,hypertension,['NCT05198674'],1
Individual is diagnosed with hypertension and has a baseline office systolic blood pressure ≥140 mmHg,inclusion,hypertension,['NCT05198674'],1
"Individual is pregnant, nursing or planning to become pregnant",exclusion,hypertension,['NCT05198674'],1
Individual lacks appropriate renal artery anatomy,exclusion,hypertension,['NCT05198674'],1
Individual requires chronic oxygen support or mechanical ventilation other than nocturnal respiratory support for sleep apnea,exclusion,hypertension,['NCT05198674'],1
Individual with history of osteoporotic fracture and / or pathology or treatment causing secondary osteoporosis,exclusion,stroke,['NCT06538974'],1
"Individual with severe spasticity of adductor muscles, hamstring, quadriceps and triceps surae. Severe spasticity is defined by a score of 4 on the modified Ashworth scale",exclusion,stroke,['NCT06538974'],1
Individually deprived of liberty or placed under the authority of a tutor,exclusion,breast cancer,['NCT03017573'],1
Inflammatory breast cancer (cT4d).,exclusion,breast cancer,['NCT05896566'],1
Informed consent,inclusion,healthy,['NCT04457622'],1
Informed consent,inclusion,obesity,['NCT05783466'],1
Initial BMI \<35Kg/m².,exclusion,obesity,['NCT04994665'],1
Initial BMI between 35Kg/m² and 40 Kg/m² associated with at least one severe comorbidity likely to be improved after surgery according to HAS recommendations.,inclusion,obesity,['NCT04994665'],1
Initial BMI between 35Kg/m² and 40 Kg/m² without comorbidities.,exclusion,obesity,['NCT04994665'],1
Inpatient or outpatient at the Adult Psychiatry Service,inclusion,depression,['NCT05894980'],1
"INR \<1.5× ULN and PTT \<1.5x ULN Except for patients receiving anticoagulation therapy. For patients receiving warfarin, a stable INR between 2 and 3 is required. For patients receiving heparin, PTT between 1.5 and 2.5 x ULN (or value before patient started heparin treatment) is required.",inclusion,breast cancer,['NCT05896566'],1
Insufficient knowledge of French,exclusion,depression,['NCT06351501'],1
Interstitial lung disease that is symptomatic and may interfere with the detection or management of suspected drug-related pulmonary toxicity,exclusion,breast cancer,['NCT04725331'],1
Investigator's judgement,inclusion,hypertension,['NCT06687265'],1
Is able to continue on adjuvant pembrolizumab,inclusion,breast cancer,['NCT06393374'],1
Is currently participating in or has participated in a study of an investigational agent or has used an investigational device within 4 weeks prior to the first dose of study treatment,exclusion,breast cancer,['NCT04725331'],1
Is currently receiving a strong inducer/inhibitor of cytochrome P450 3A4 (CYP3A4) that cannot be discontinued for the duration of the study. The required washout period before starting sacituzumab tirumotecan is 2 weeks,exclusion,breast cancer,['NCT06393374'],1
Is taking an anticoagulant medication that cannot be interrupted prior to IT injections,exclusion,breast cancer,['NCT04725331'],1
Ischemic or haemorrhagic stroke according to ICD 10 I61-I69 (30),inclusion,stroke,['NCT04759326'],1
"It is impossible to correctly inform the patient (language barrier, etc.)",exclusion,depression,['NCT03810482'],1
"It is impossible to correctly inform the patient (language barrier, etc.)",exclusion,hypertension,['NCT03810482'],1
IUD intrauterine device,exclusion,breast cancer,['NCT06900374'],1
"Judgement by the investigator that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions and requirements.",exclusion,breast cancer,['NCT05896566'],1
Ki 67 ≥10% in diagnostic biopsy as determined per local assessment.,inclusion,breast cancer,['NCT05896566'],1
Know pregnancy or breastfeeding,exclusion,depression,['NCT05952674'],1
Known allergic reaction to plastic.,exclusion,healthy,['NCT06821126'],1
Known allergy to milk proteins,exclusion,obesity,['NCT04934826'],1
"Known clinically significant history of liver disease consistent with Child-Pugh Class B or C, including hepatitis.",exclusion,breast cancer,['NCT05896566'],1
"Known contrast product, Nickel, titanium allergy",exclusion,hypertension,['NCT06945848'],1
Known ectopic pregnancy,exclusion,hypertension,['NCT05521776'],1
"Known hyperkalaemia, defined as potassium of ≥ 5.5 mmol/L within 3 months at screening.",exclusion,hypertension,['NCT06268873'],1
Known hypersensitivity to all the iodin-containing contrast agents,exclusion,hypertension,['NCT06687265'],1
Known hypersensitivity to beta-lactam antibiotics if the patient has a history of valve replacement,exclusion,hypertension,['NCT06687265'],1
Known hypersensitivity to lidocaine for local anesthesia,exclusion,hypertension,['NCT06687265'],1
known hypersensitivity to milrinone or any of the excipients,exclusion,stroke,['NCT04282629'],1
Known hypersensitivity to the active substance or any of the excipients,exclusion,hypertension,['NCT06687265'],1
"Known infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or hepatitis C virus (HCV).",exclusion,breast cancer,['NCT05696626'],1
Known issues with swallowing oral medication.,exclusion,breast cancer,['NCT05896566'],1
Known multiple pregnancy,exclusion,hypertension,['NCT05521776'],1
Known non-ongoing pregnancy,exclusion,hypertension,['NCT05521776'],1
Known RB1 mutations or deletions that in the opinion of the investigator confer resistance to CDK4/6i. (Screening for RB1 mutation is not required for entry.),exclusion,breast cancer,['NCT05696626'],1
Known relevant allergy to any drug or excipients in the formulation,exclusion,healthy,['NCT07090889'],1
Known relevant allergy to any drug or excipients in the formulation.,exclusion,healthy,['NCT07090889'],1
Known sensitivity to any of the ingredients of the trial vaccines.,exclusion,healthy,['NCT06821126'],1
known severe obstructive heart diseases,exclusion,stroke,['NCT04282629'],1
Lasofoxifene is not recommended for use in subjects with conditions that place them at increased risk for VTEs (such as severe congestive heart failure \[CHF\] or prolonged immobilization).,exclusion,breast cancer,['NCT05696626'],1
Left-handed,exclusion,depression,['NCT05894980'],1
Legal issues: care under constraint or patient deprived of freedom because of a judicial measure 13. Patient who does not speak and read French sufficiently,exclusion,depression,['NCT05698589'],1
"Life expectancy of less than 1 year related to comorbidities (end stage cancer, end stage organ failure)",exclusion,stroke,['NCT04621357'],1
Life expectancy under 6 months,exclusion,hypertension,['NCT06945848'],1
Locally advanced and/or metastatic ER+ breast cancer with radiological or clinical evidence of progression on an AI in combination with either palbociclib or ribociclib as their first hormonal treatment for metastatic disease.,inclusion,breast cancer,['NCT05696626'],1
Locally advanced or metastatic breast cancer with either measurable (according to RECIST 1.1) or non-measurable lesions.,inclusion,breast cancer,['NCT05696626'],1
Lymphangitic carcinomatosis involving the lung.,exclusion,breast cancer,['NCT05696626'],1
MADRS score ≥ 18,inclusion,depression,['NCT05894980'],1
"Major adverse cardiovascular event during the last three months: myocardial infarction, heart failure hospitalization, stroke",exclusion,hypertension,['NCT05732727'],1
Major cognitive impairment affecting comprehension (Mini Mental State Examination test \< 24 points),exclusion,stroke,['NCT04759326'],1
major hydroelectrolytic disorders (hypokalemia \<3 mmol / L),exclusion,stroke,['NCT04282629'],1
major patient (≥ 18 years),inclusion,stroke,['NCT04282629'],1
Major protected by law,exclusion,healthy,['NCT05036629'],1
Major surgery within 4 weeks prior to randomization.,exclusion,breast cancer,['NCT05896566'],1
Major surgery within the last 3 months or any planned surgery during the trial.,exclusion,healthy,['NCT07090889'],1
